model,params,n_clusters,separation_ratio,cv,min_cluster_size,min_cluster_ratio,silhouette,davies_bouldin,calinski_harabasz
Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 15}",3,1.150433703638733,0.7182745762622557,6,0.08571428571428572,0.25240753154019735,1.4589670575079898,27.089689265707072
Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 25}",3,1.150433703638733,0.7182745762622557,6,0.08571428571428572,0.25240753154019735,1.4589670575079898,27.089689265707072
Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 100}",3,1.150433703638733,0.7182745762622557,6,0.08571428571428572,0.25240753154019735,1.4589670575079898,27.089689265707072
KMeans,"{'n_clusters': 3, 'init': 'k-means++'}",3,1.1025053083633538,0.6311634864259164,6,0.08571428571428572,0.27166235844141823,1.360504729512855,29.68074193752631
KMeans,"{'n_clusters': 3, 'init': 'random'}",3,1.0907803710049362,0.6124557457439765,6,0.08571428571428572,0.2708897023150955,1.3725875349551355,29.793195862576976
Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 50}",3,1.017359305341447,0.793596823221667,6,0.08571428571428572,0.2930595267514278,1.603104606346389,26.104453944130736
KMeans,"{'n_clusters': 4, 'init': 'random'}",4,0.7842745602408262,0.7004371808643938,6,0.08571428571428572,0.22903767436086753,1.2770181667063847,25.469705572750236
Birch,"{'n_clusters': 3, 'threshold': 0.5, 'branching_factor': 25}",3,0.7204165479281719,0.6164414000327085,9,0.12857142857142856,0.23252066309159014,1.5952480746825053,21.722581153099846
Birch,"{'n_clusters': 3, 'threshold': 0.5, 'branching_factor': 15}",3,0.665945902371948,0.546976848882057,9,0.12857142857142856,0.23203370249688002,1.5227531820350355,22.87444919863517
Birch,"{'n_clusters': 3, 'threshold': 0.5, 'branching_factor': 100}",3,0.665945902371948,0.546976848882057,9,0.12857142857142856,0.23203370249688002,1.5227531820350355,22.87444919863517
