model,params,n_clusters,separation_ratio,cv,min_cluster_size,min_cluster_ratio,silhouette,davies_bouldin,calinski_harabasz
Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 15}",3,0.9116074871353335,0.9032819973007212,6,0.08571428571428572,0.3059278639063571,1.374305328477898,27.74960891861462
Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 25}",3,0.7946739336988065,0.8473247211418276,6,0.08571428571428572,0.3309686364139416,1.5627188578595241,27.860008583219937
Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 50}",3,0.7946739336988065,0.8473247211418276,6,0.08571428571428572,0.3309686364139416,1.5627188578595241,27.860008583219937
Birch,"{'n_clusters': 3, 'threshold': 0.3, 'branching_factor': 100}",3,0.7946739336988065,0.8473247211418276,6,0.08571428571428572,0.3309686364139416,1.5627188578595241,27.860008583219937
KMeans,"{'n_clusters': 4, 'init': 'random'}",4,0.6386379000330441,0.8480469754957348,6,0.08571428571428572,0.30791817541350974,1.3796547493615865,27.25784343942859
GaussianMixture,"{'n_components': 3, 'covariance_type': 'spherical', 'reg_covar': 0.0001}",3,0.40058506012689493,0.6311634864259164,6,0.08571428571428572,0.29923825007039817,2.223789906985653,24.593528131913388
GaussianMixture,"{'n_components': 3, 'covariance_type': 'spherical', 'reg_covar': 1e-05}",3,0.40058506012689493,0.6311634864259164,6,0.08571428571428572,0.29923825007039817,2.223789906985653,24.593528131913388
GaussianMixture,"{'n_components': 3, 'covariance_type': 'spherical', 'reg_covar': 1e-06}",3,0.40058506012689493,0.6311634864259164,6,0.08571428571428572,0.29923825007039817,2.223789906985653,24.593528131913388
KMeans,"{'n_clusters': 3, 'init': 'k-means++'}",3,0.35745268023483057,0.8750510185457527,6,0.08571428571428572,0.3458399032559347,1.1933303877188306,31.544627398570757
KMeans,"{'n_clusters': 3, 'init': 'random'}",3,0.35745268023483057,0.8750510185457527,6,0.08571428571428572,0.3458399032559347,1.1933303877188308,31.544627398570757
