name,C1,C2,LSC,T1,density,clsCoef
DPPIV_inhibitory_activity,0.0,0.0,0.961,0.783,0.66,0.109
HemoPI1,0.0,0.0,0.993,0.729,0.909,0.308
HemoPI2,0.006,0.016,0.996,0.719,0.882,0.251
HemoPI3,0.006,0.016,0.997,0.732,0.913,0.259
Hemo_HAPPENN,0.022,0.059,0.998,0.657,0.998,0.474
ace_inhibitory_activity,0.0,0.0,0.999,0.832,0.647,0.11
ace_vaxinpad,0.01,0.028,0.991,0.824,0.959,0.56
acp_anticp,0.0,0.0,0.992,0.846,0.94,0.493
acp_iacp,0.028,0.075,0.989,0.919,0.977,0.645
acp_mlacp,0.096,0.23,0.993,0.814,0.997,0.761
afp_amppred,0.0,0.001,0.998,0.804,0.976,0.51
afp_antifp,0.0,0.0,0.998,0.783,0.99,0.714
aip_aippred,0.029,0.076,0.998,0.999,1.0,1.0
aip_antiinflam,0.025,0.068,0.999,0.947,1.0,0.968
amp_antibp,0.0,0.0,0.989,0.84,0.999,0.883
amp_antibp2,0.0,0.0,0.998,0.813,0.984,0.57
amp_csamp,0.047,0.122,0.904,0.77,0.994,0.689
amp_fernandes,0.0,0.0,0.987,0.991,0.995,0.936
amp_gonzales,0.26,0.505,0.954,0.86,0.984,0.735
amp_iamp2l,0.162,0.356,0.999,0.97,0.992,0.813
amp_modlamp,0.002,0.005,0.99,0.641,0.996,0.576
anitinflamatory,0.04,0.104,1.0,0.975,1.0,0.996
anti_MRSA,0.393,0.661,0.995,0.997,0.989,0.8
antibacterial,0.0,0.0,0.999,0.76,0.909,0.37
anticancer_alternative,0.0,0.0,0.996,0.807,0.992,0.694
anticancer_main,0.0,0.0,0.996,0.753,0.993,0.619
antidiabetic,0.0,0.0,0.996,0.992,1.0,0.976
antifungal,0.0,0.0,0.998,0.885,0.986,0.742
antimalarial_alternative,0.344,0.609,0.99,0.929,0.985,0.769
antimalarial_main,0.663,0.867,0.997,0.845,0.953,0.493
antimicrobial,0.0,0.0,0.999,0.965,1.0,0.957
antimicrobial_UniDL4BioPep,0.015,0.04,0.825,0.771,0.974,0.671
antioxidant,0.0,0.0,0.998,0.917,0.903,0.351
antioxidant_UniDL4BioPep,0.0,0.001,0.998,0.952,0.752,0.174
antiparasitic,0.204,0.424,0.997,0.961,0.984,0.741
antiviral,0.0,0.0,0.999,0.846,0.827,0.293
atb_antitbp,0.0,0.0,0.993,0.9,0.907,0.418
atb_iantitb,0.0,0.0,0.992,0.919,0.919,0.476
avp_amppred,0.0,0.0,0.997,0.844,0.971,0.526
avp_avppred,0.015,0.04,0.995,0.793,0.97,0.463
bce_ibce,0.01,0.028,0.999,1.0,1.0,0.994
bitter,0.0,0.0,0.995,0.817,0.687,0.127
blood_brain_barrier,0.0,0.0,0.989,0.962,0.974,0.746
cpp_cellppd,0.0,0.0,0.996,0.801,0.979,0.541
cpp_cellppdmod,0.0,0.0,0.991,0.525,0.987,0.423
cpp_cppredfl,0.0,0.0,0.995,0.976,0.996,0.842
cpp_kelmcpp,0.0,0.0,0.995,0.912,0.999,0.862
cpp_mlcpp,0.037,0.096,0.997,0.873,0.998,0.822
cpp_mlcppue,0.0,0.0,0.995,0.885,0.972,0.429
cpp_sanders,0.214,0.44,0.969,0.828,0.987,0.734
hem_hemopi,0.002,0.006,0.995,0.773,0.909,0.312
hiv_apv,0.029,0.077,0.982,0.805,0.778,0.199
hiv_bevirimat,0.148,0.331,0.88,0.645,0.903,0.509
hiv_idv,0.0,0.001,0.986,0.762,0.783,0.186
hiv_lpv,0.007,0.018,0.984,0.87,0.811,0.208
hiv_nfv,0.041,0.106,0.991,0.781,0.797,0.199
hiv_protease,0.372,0.639,0.994,0.98,1.0,0.994
hiv_rtv,0.001,0.003,0.983,0.739,0.798,0.192
hiv_sqv,0.031,0.082,0.985,0.787,0.772,0.189
hiv_v3,0.395,0.663,0.976,0.423,0.898,0.36
isp_il10pred,0.099,0.236,0.998,0.931,1.0,0.964
nep_neuropipred,0.0,0.0,0.994,0.826,0.886,0.349
neuropeptide,0.0,0.0,0.999,0.811,0.767,0.22
pip_pipel,0.176,0.379,0.999,0.996,1.0,0.999
quorum_sensing,0.0,0.0,0.955,0.762,0.873,0.467
tce_zhao,0.326,0.588,0.853,0.906,0.999,0.938
toxic,0.0,0.0,0.997,0.814,1.0,0.841
toxic_PLPTP,0.138,0.313,0.997,0.751,1.0,0.847
tumor_t_cell_antigens,0.03,0.078,0.998,0.948,0.982,0.781
umami,0.099,0.237,0.989,0.769,0.675,0.137
