name,complexities.t1,complexities.clsCoef,complexities.lsc,complexities.c1
DPPIV_inhibitory_activity,0.783,0.109,0.961,0.0
HemoPI1,0.729,0.308,0.993,0.0
HemoPI2,0.719,0.251,0.996,0.006
HemoPI3,0.732,0.259,0.997,0.006
Hemo_HAPPENN,0.657,0.474,0.998,0.022
ace_inhibitory_activity,0.832,0.11,0.999,0.0
ace_vaxinpad,0.824,0.56,0.991,0.01
acp_anticp,0.846,0.493,0.992,0.0
acp_iacp,0.919,0.645,0.989,0.028
acp_mlacp,0.814,0.761,0.993,0.096
afp_amppred,0.804,0.51,0.998,0.0
afp_antifp,0.783,0.714,0.998,0.0
aip_aippred,0.999,1.0,0.998,0.029
aip_antiinflam,0.947,0.968,0.999,0.025
amp_antibp,0.84,0.883,0.989,0.0
amp_antibp2,0.813,0.57,0.998,0.0
amp_csamp,0.77,0.689,0.904,0.047
amp_fernandes,0.991,0.936,0.987,0.0
amp_gonzales,0.86,0.735,0.954,0.26
amp_iamp2l,0.97,0.813,0.999,0.162
amp_modlamp,0.641,0.576,0.99,0.002
anitinflamatory,0.975,0.996,1.0,0.04
anti_MRSA,0.997,0.8,0.995,0.393
antibacterial,0.76,0.37,0.999,0.0
anticancer_alternative,0.807,0.694,0.996,0.0
anticancer_main,0.753,0.619,0.996,0.0
antidiabetic,0.992,0.976,0.996,0.0
antifungal,0.885,0.742,0.998,0.0
antimalarial_alternative,0.929,0.769,0.99,0.344
antimalarial_main,0.845,0.493,0.997,0.663
antimicrobial,0.965,0.957,0.999,0.0
antimicrobial_UniDL4BioPep,0.771,0.671,0.825,0.015
antioxidant,0.917,0.351,0.998,0.0
antioxidant_UniDL4BioPep,0.952,0.174,0.998,0.0
antiparasitic,0.961,0.741,0.997,0.204
antiviral,0.846,0.293,0.999,0.0
atb_antitbp,0.9,0.418,0.993,0.0
atb_iantitb,0.919,0.476,0.992,0.0
avp_amppred,0.844,0.526,0.997,0.0
avp_avppred,0.793,0.463,0.995,0.015
bce_ibce,1.0,0.994,0.999,0.01
bitter,0.817,0.127,0.995,0.0
blood_brain_barrier,0.962,0.746,0.989,0.0
cpp_cellppd,0.801,0.541,0.996,0.0
cpp_cellppdmod,0.525,0.423,0.991,0.0
cpp_cppredfl,0.976,0.842,0.995,0.0
cpp_kelmcpp,0.912,0.862,0.995,0.0
cpp_mlcpp,0.873,0.822,0.997,0.037
cpp_mlcppue,0.885,0.429,0.995,0.0
cpp_sanders,0.828,0.734,0.969,0.214
hem_hemopi,0.773,0.312,0.995,0.002
hiv_apv,0.805,0.199,0.982,0.029
hiv_bevirimat,0.645,0.509,0.88,0.148
hiv_idv,0.762,0.186,0.986,0.0
hiv_lpv,0.87,0.208,0.984,0.007
hiv_nfv,0.781,0.199,0.991,0.041
hiv_protease,0.98,0.994,0.994,0.372
hiv_rtv,0.739,0.192,0.983,0.001
hiv_sqv,0.787,0.189,0.985,0.031
hiv_v3,0.423,0.36,0.976,0.395
isp_il10pred,0.931,0.964,0.998,0.099
nep_neuropipred,0.826,0.349,0.994,0.0
neuropeptide,0.811,0.22,0.999,0.0
pip_pipel,0.996,0.999,0.999,0.176
quorum_sensing,0.762,0.467,0.955,0.0
tce_zhao,0.906,0.938,0.853,0.326
toxic,0.814,0.841,0.997,0.0
toxic_PLPTP,0.751,0.847,0.997,0.138
tumor_t_cell_antigens,0.948,0.781,0.998,0.03
umami,0.769,0.137,0.989,0.099
