,dataset,metric,mean,std,cv
0,ace_inhibitory_activity_subsampled,t1,0.8547499999999999,0.0052789677021175315,0.006176037089344875
1,ace_inhibitory_activity_subsampled,density,0.68332,0.0719300882802183,0.10526559778759335
2,ace_inhibitory_activity_subsampled,clsCoef,0.14373000000000002,0.06304139195798265,0.4386098375981538
3,ace_vaxinpad_subsampled,t1,0.84659,0.012072360995265187,0.0142599853474116
4,ace_vaxinpad_subsampled,density,0.9582599999999999,0.0020621348161553375,0.0021519575231725603
5,ace_vaxinpad_subsampled,clsCoef,0.57292,0.009524368745486478,0.0166242559964506
6,acp_anticp_subsampled,t1,0.8673000000000001,0.011997082978791146,0.013832679555852814
7,acp_anticp_subsampled,density,0.9444999999999998,0.0077711003081931546,0.008227739871035634
8,acp_anticp_subsampled,clsCoef,0.5153,0.0234377899982059,0.04548377643742655
9,acp_iacp_subsampled,t1,0.9254200000000001,0.00971203377259365,0.010494730795307697
10,acp_iacp_subsampled,density,0.9786300000000001,0.005447302084518542,0.005566252909187886
11,acp_iacp_subsampled,clsCoef,0.6680500000000003,0.03970702078977972,0.0594371989967513
12,acp_mlacp_subsampled,t1,0.8305599999999999,0.010585197211200175,0.012744650851473917
13,acp_mlacp_subsampled,density,0.9972000000000001,0.0004690415759823434,0.0004703585800063611
14,acp_mlacp_subsampled,clsCoef,0.78531,0.014432390654358005,0.018377953488887197
15,afp_amppred_subsampled,t1,0.8179499999999998,0.006307733348834558,0.007711636834567589
16,afp_amppred_subsampled,density,0.97573,0.0013627545633752263,0.0013966512901880913
17,afp_amppred_subsampled,clsCoef,0.52663,0.007210624106136728,0.013692011670692379
18,afp_antifp_subsampled,t1,0.8038000000000001,0.004662617290749905,0.005800718201977985
19,afp_antifp_subsampled,density,0.9899800000000001,0.0005473572873361609,0.0005528973184672022
20,afp_antifp_subsampled,clsCoef,0.72443,0.004982479302515972,0.00687779261283488
21,aip_aippred_subsampled,t1,0.9995499999999998,0.0004974937185533104,0.000497717691514492
22,aip_aippred_subsampled,density,0.9999899999999999,9.949874371066205e-05,9.949973870804913e-05
23,aip_aippred_subsampled,clsCoef,0.99875,0.0035899164335677814,0.0035944094453744992
24,aip_antiinflam_subsampled,t1,0.9544400000000002,0.0028855502074994323,0.0030232913619498676
25,aip_antiinflam_subsampled,density,1.0,0.0,0.0
26,aip_antiinflam_subsampled,clsCoef,0.9731399999999999,0.0031749645667314176,0.0032625979476040633
27,amp_antibp2_subsampled,t1,0.8346899999999999,0.005471188170772419,0.006554754664333368
28,amp_antibp2_subsampled,density,0.98457,0.0009083501527494788,0.0009225856493184627
29,amp_antibp2_subsampled,clsCoef,0.59249,0.008536386823475147,0.014407647088516511
30,amp_antibp_subsampled,t1,0.8619,0.007830070242341388,0.009084662074882687
31,amp_antibp_subsampled,density,0.9990199999999999,0.00014000000000000015,0.0001401373345878963
32,amp_antibp_subsampled,clsCoef,0.90731,0.011117279343436513,0.01225301092618456
33,amp_csamp_subsampled,t1,0.7932000000000001,0.013732443336857428,0.017312712224984147
34,amp_csamp_subsampled,density,0.9937699999999998,0.0007328710664230108,0.000737465476340613
35,amp_csamp_subsampled,clsCoef,0.74225,0.026518059883784893,0.03572658792022215
36,amp_fernandes_subsampled,t1,0.99167,0.004140181155456852,0.0041749585602638495
37,amp_fernandes_subsampled,density,0.9942300000000001,0.0041130402380720795,0.0041369102099836855
38,amp_fernandes_subsampled,clsCoef,0.93271,0.03123469064998082,0.033488105252415884
39,amp_gonzales_subsampled,t1,0.87399,0.020201235110755004,0.02311380577667365
40,amp_gonzales_subsampled,density,0.9846300000000002,0.003061551894056349,0.003109342488098421
41,amp_gonzales_subsampled,clsCoef,0.76389,0.033907490322936024,0.04438792276759223
42,amp_iamp2l_subsampled,t1,0.97382,0.0016393901305058554,0.0016834631970034045
43,amp_iamp2l_subsampled,density,0.99201,0.0009643132271207327,0.0009720801474992517
44,amp_iamp2l_subsampled,clsCoef,0.8136599999999998,0.00635644554763112,0.00781216423030642
45,amp_modlamp_subsampled,t1,0.6633,0.009894948206029184,0.014917756981801875
46,amp_modlamp_subsampled,density,0.99634,0.00047370877129308093,0.00047544891431949024
47,amp_modlamp_subsampled,clsCoef,0.5976499999999999,0.006815240274561131,0.011403397096228783
48,anitinflamatory_subsampled,t1,0.9829799999999999,0.006449775189880658,0.0065614510873880025
49,anitinflamatory_subsampled,density,1.0,0.0,0.0
50,anitinflamatory_subsampled,clsCoef,0.9971899999999999,0.0010926573113286717,0.001095736330417144
51,anticancer_alternative_subsampled,t1,0.8233899999999998,0.0065725109357078985,0.007982257418365417
52,anticancer_alternative_subsampled,density,0.9923500000000004,0.0004974937185533105,0.0005013288845198875
53,anticancer_alternative_subsampled,clsCoef,0.7045599999999999,0.006192447012288444,0.008789098177995409
54,anticancer_main_subsampled,t1,0.7736900000000001,0.008948402091993863,0.011565875340244622
55,anticancer_main_subsampled,density,0.9933599999999998,0.0005003998401278727,0.000503744704968866
56,anticancer_main_subsampled,clsCoef,0.6402100000000001,0.008383668648032323,0.01309518540483954
57,antidiabetic_subsampled,t1,0.9928500000000001,0.0032752862470324666,0.0032988731903434215
58,antidiabetic_subsampled,density,0.9999899999999999,9.949874371066208e-05,9.949973870804916e-05
59,antidiabetic_subsampled,clsCoef,0.9795699999999999,0.006332858754148877,0.006464937425757095
60,antifungal_subsampled,t1,0.8979500000000001,0.004443815927780992,0.004948845623677255
61,antifungal_subsampled,density,0.9864799999999999,0.0006554387843269581,0.0006644217666115463
62,antifungal_subsampled,clsCoef,0.7460999999999999,0.004611941023040086,0.006181397966814216
63,antimalarial_alternative_subsampled,t1,0.9386800000000001,0.006340157726744622,0.006754333454153302
64,antimalarial_alternative_subsampled,density,0.9867199999999998,0.0027643444069073617,0.0028015489773262547
65,antimalarial_alternative_subsampled,clsCoef,0.80057,0.039732167069013474,0.049629847569873306
66,antimalarial_main_subsampled,t1,0.8581599999999999,0.006366663176264319,0.0074189698614061704
67,antimalarial_main_subsampled,density,0.9559099999999999,0.003937245229852978,0.004118845110787603
68,antimalarial_main_subsampled,clsCoef,0.51639,0.011885196674855669,0.023015931127356587
69,antimicrobial_subsampled,t1,0.97092,0.0016289874155437805,0.001677777175816525
70,antimicrobial_subsampled,density,1.0,0.0,0.0
71,antimicrobial_subsampled,clsCoef,0.9560099999999998,0.009102192043678278,0.009521021792322549
72,antioxidant_subsampled,t1,0.93072,0.007212600085960666,0.007749484362601713
73,antioxidant_subsampled,density,0.9033100000000001,0.0018584671102820213,0.002057396807609814
74,antioxidant_subsampled,clsCoef,0.35840999999999995,0.004733064546358949,0.013205726811079349
75,antioxidant_UniDL4BioPep_subsampled,t1,0.9524599999999996,0.009150322398691743,0.009607041134212195
76,antioxidant_UniDL4BioPep_subsampled,density,0.75314,0.007791046142848861,0.010344751497528826
77,antioxidant_UniDL4BioPep_subsampled,clsCoef,0.1803,0.007380379394042019,0.04093388460367177
78,antiparasitic_subsampled,t1,0.9672099999999999,0.0029842754564550532,0.0030854472725210177
79,antiparasitic_subsampled,density,0.9844099999999999,0.0011584040745784704,0.0011767496008558125
80,antiparasitic_subsampled,clsCoef,0.74959,0.007922240844609569,0.010568765384556316
81,anti_MRSA_subsampled,t1,0.9975999999999999,0.0012328828005937964,0.0012358488378045273
82,anti_MRSA_subsampled,density,0.99056,0.0022861321046693714,0.0023079188586954567
83,anti_MRSA_subsampled,clsCoef,0.81935,0.02681170453365468,0.032723139724970624
84,atb_antitbp_subsampled,t1,0.91106,0.009853750554991747,0.01081569880687523
85,atb_antitbp_subsampled,density,0.91336,0.01466732422768378,0.016058645252347136
86,atb_antitbp_subsampled,clsCoef,0.44598999999999994,0.03878001933986109,0.08695266561999393
87,atb_iantitb_subsampled,t1,0.9187700000000002,0.014490586599582501,0.015771723717124524
88,atb_iantitb_subsampled,density,0.9193100000000001,0.011998079012908685,0.01305117861538402
89,atb_iantitb_subsampled,clsCoef,0.48638,0.028711593477200117,0.05903119675397862
90,avp_amppred_subsampled,t1,0.85102,0.008597650841945149,0.010102760031427169
91,avp_amppred_subsampled,density,0.9672199999999997,0.005428775184146056,0.0056127615063233365
92,avp_amppred_subsampled,clsCoef,0.52205,0.023347537343368807,0.0447227992402429
93,avp_avppred_subsampled,t1,0.8097399999999999,0.010195704978077742,0.012591331758438193
94,avp_avppred_subsampled,density,0.9739,0.010055346836385117,0.010324824762691361
95,avp_avppred_subsampled,clsCoef,0.51515,0.08481784894702295,0.16464689691744724
96,bce_ibce_subsampled,t1,1.0,0.0,0.0
97,bce_ibce_subsampled,density,0.99932,0.0017825823964125772,0.0017837953772691204
98,bce_ibce_subsampled,clsCoef,0.968,0.06461656134459647,0.06675264601714512
99,bitter_subsampled,t1,0.8417699999999999,0.010950666646373645,0.01300909588886946
100,bitter_subsampled,density,0.71272,0.04275630479823999,0.05999032551105622
101,bitter_subsampled,clsCoef,0.15106,0.038019421352777055,0.25168424038644943
102,blood_brain_barrier_subsampled,t1,0.9651599999999999,0.008784896129152588,0.009102010163239867
103,blood_brain_barrier_subsampled,density,0.96846,0.008462174661397632,0.008737763729423654
104,blood_brain_barrier_subsampled,clsCoef,0.7380600000000002,0.033705435763389864,0.04566760935884597
105,cpp_cellppd_subsampled,t1,0.8191299999999998,0.0074868618258920544,0.009140016634590426
106,cpp_cellppd_subsampled,density,0.9786499999999999,0.0011863810517704684,0.001212262863915055
107,cpp_cellppd_subsampled,clsCoef,0.55256,0.008650225430588486,0.01565481654587463
108,cpp_cppredfl_subsampled,t1,0.9800399999999998,0.0035942175782776456,0.0036674192668438494
109,cpp_cppredfl_subsampled,density,0.9954099999999998,0.0022454175558234172,0.002255771547225181
110,cpp_cppredfl_subsampled,clsCoef,0.8534599999999999,0.03402834700657674,0.039871050789230596
111,cpp_kelmcpp_subsampled,t1,0.9218,0.0076459139414461075,0.008294547560692242
112,cpp_kelmcpp_subsampled,density,0.9989999999999999,1.1102230246251565e-16,1.1113343589841408e-16
113,cpp_kelmcpp_subsampled,clsCoef,0.8795700000000001,0.009006947318598024,0.0102401711274805
114,cpp_mlcppue_subsampled,t1,0.9018200000000002,0.01625630954429696,0.01802611335332656
115,cpp_mlcppue_subsampled,density,0.9741699999999999,0.003926970842774367,0.00403109400081543
116,cpp_mlcppue_subsampled,clsCoef,0.4551700000000001,0.029300530711917152,0.06437271944969385
117,cpp_mlcpp_subsampled,t1,0.8868900000000001,0.008128831404328676,0.009165546352229336
118,cpp_mlcpp_subsampled,density,0.9983399999999999,0.0004737087712930808,0.0004744964353758047
119,cpp_mlcpp_subsampled,clsCoef,0.83254,0.01217326579024709,0.014621838938966406
120,cpp_sanders_subsampled,t1,0.85312,0.023939624057198572,0.028061262257593974
121,cpp_sanders_subsampled,density,0.9893100000000001,0.0022436354427580276,0.002267879070016504
122,cpp_sanders_subsampled,clsCoef,0.78215,0.031071007386307897,0.03972512610919631
123,DPPIV_inhibitory_activity_subsampled,t1,0.77212,0.05209458321169293,0.0674695425732955
124,DPPIV_inhibitory_activity_subsampled,density,0.6652000000000001,0.009808159868191382,0.014744678094094077
125,DPPIV_inhibitory_activity_subsampled,clsCoef,0.11374000000000001,0.006025977099193127,0.052980280457122615
126,HemoPI1_subsampled,t1,0.7498199999999998,0.008328721390465654,0.011107627684598512
127,HemoPI1_subsampled,density,0.9192299999999999,0.015347217988938563,0.01669573228565056
128,HemoPI1_subsampled,clsCoef,0.33647,0.03133096072577411,0.09311665445886443
129,HemoPI2_subsampled,t1,0.74265,0.011105291531517767,0.014953600661843085
130,HemoPI2_subsampled,density,0.89735,0.027306180619046647,0.030429799542036715
131,HemoPI2_subsampled,clsCoef,0.28007000000000004,0.033302929300588556,0.1189093058899152
132,HemoPI3_subsampled,t1,0.7520100000000002,0.011639153749306701,0.015477392254500203
133,HemoPI3_subsampled,density,0.9154899999999999,0.007804479482963606,0.008524920515749606
134,HemoPI3_subsampled,clsCoef,0.27642000000000005,0.012377544182914473,0.044778034089119706
135,Hemo_HAPPENN_subsampled,t1,0.6874199999999999,0.010423224069355856,0.015162817592382907
136,Hemo_HAPPENN_subsampled,density,0.9980000000000001,1.1102230246251565e-16,1.1124479204660886e-16
137,Hemo_HAPPENN_subsampled,clsCoef,0.50569,0.005518505232397633,0.010912822544241795
