metric,mean,std,cv
LenEntr,2.0101111573428523,0.025800798016927494,0.014298425874913681
LenMax,67.23957142857144,1.6088775720141375,0.023443730090467164
LenMean,30.464616959926154,0.1495553776637679,0.006344338863693182
LenMed,28.66035714285714,0.2030124404139415,0.010343718936950005
LenMin,15.702142857142858,0.10513136762319546,0.02792889089636384
LenStd,9.628578614702624,0.14131193502405956,0.01733868030224501
LevEntr,1.7808427505874396,0.029982182524700692,0.018979733980625132
LevMax,59.729,1.7362311954380878,0.02788340257379817
LevMean,23.20548303499789,0.17487953987584146,0.008022629403936929
LevMed,22.410714285714285,0.2933133084064563,0.013369592768322119
LevStd,8.681799628651627,0.165901797818725,0.020350649334658372
NTriEntr,0.8536137482874635,0.05663629758371389,0.09186469545224192
NTriMean,0.9538876005033814,0.0016440939351941302,0.0018864015500148284
NTriMed,0.9895084110285877,9.155890303341247e-05,0.0002029429891478363
NTriMin,0.306657044745071,0.032257626792168405,0.2503196645680926
NTriStd,0.0960080921779147,0.0033821228923692596,0.04815485051360461
ShEntrEntr,2.595914358278681,0.027600091827243073,0.011589281125343999
ShEntrMax,3.9790390739336754,0.018240714654201125,0.00462088066618702
ShEntrMean,3.061125368416292,0.007797572499655428,0.002828145189227768
ShEntrMed,3.1295288466011613,0.009205152075711643,0.0033480227859250264
ShEntrMin,1.0363166028411694,0.08882735503428625,0.538973912723713
ShEntrStd,0.4724643665452611,0.0068586102195192875,0.015297104691786788
TriEntr,2.1316027786783067,0.02817780346585315,0.019843681677536987
TriMax,63.789571428571435,1.6458367236127176,0.02525444710104501
TriMean,27.298020116336147,0.1438179614757185,0.007541762406890165
TriMed,25.750642857142857,0.23142964560549706,0.017114067087556504
TriMin,11.106428571428571,0.35885777537407204,0.22261009022192246
TriStd,9.41489913176884,0.13637592975871177,0.022293691768238387
