name,n_samples,n_features,score,n_classes,classes,complexities.f1,complexities.f1v,complexities.f2,complexities.f3,complexities.f4,complexities.l1,complexities.l2,complexities.l3,complexities.n1,complexities.n2,complexities.n3,complexities.n4,complexities.t1,complexities.lsc,complexities.density,complexities.clsCoef,complexities.hubs,complexities.t2,complexities.t3,complexities.t4,complexities.c1,complexities.c2,prior_probability.0,prior_probability.1
ace_inhibitory_activity,2598,1701,0.377,2,2,0.881,0.216,0.0,0.991,0.855,0.006,0.176,0.118,0.159,0.425,0.266,0.162,0.832,0.999,0.647,0.11,0.542,0.655,0.101,0.154,0.0,0.0,0.5,0.5
ace_vaxinpad,688,630,0.383,2,2,0.845,0.021,0.0,0.969,0.0,0.0,0.004,0.001,0.106,0.434,0.182,0.078,0.824,0.991,0.959,0.56,0.844,0.916,0.31,0.338,0.01,0.028,0.559593023255814,0.44040697674418605
acp_anticp,449,2037,0.55,2,2,0.7,0.005,0.0,0.962,0.0,0.0,0.0,0.0,0.187,0.457,0.339,0.147,0.846,0.992,0.94,0.493,0.823,4.537,0.552,0.122,0.0,0.0,0.5011135857461024,0.49888641425389757
acp_iacp,344,2037,0.636,2,2,0.627,0.0,0.0,0.953,0.0,0.0,0.0,0.0,0.205,0.469,0.372,0.172,0.919,0.989,0.977,0.645,0.897,5.922,0.64,0.108,0.028,0.075,0.5988372093023255,0.4011627906976744
acp_mlacp,585,1050,0.472,2,2,0.882,0.002,0.0,0.969,0.007,0.0,0.007,0.0,0.184,0.439,0.344,0.154,0.814,0.993,0.997,0.761,0.977,1.795,0.468,0.261,0.096,0.23,0.6803418803418804,0.31965811965811963
afp_amppred,2713,2079,0.416,2,2,0.881,0.065,0.0,0.991,0.702,0.0,0.021,0.007,0.158,0.437,0.28,0.142,0.804,0.998,0.976,0.51,0.888,0.766,0.223,0.291,0.0,0.001,0.5101363803907114,0.4898636196092886
afp_antifp,2916,2100,0.444,2,2,0.941,0.035,0.0,0.994,0.65,0.0,0.003,0.001,0.182,0.45,0.322,0.258,0.783,0.998,0.99,0.714,0.936,0.72,0.332,0.461,0.0,0.0,0.4996570644718793,0.5003429355281207
aip_aippred,1049,525,0.505,2,2,0.969,0.163,0.0,0.99,0.94,0.004,0.121,0.095,0.256,0.493,0.497,0.198,0.999,0.998,1.0,1.0,0.997,0.5,0.26,0.52,0.029,0.076,0.5996186844613918,0.4003813155386082
aip_antiinflam,2124,630,0.491,2,2,0.98,0.241,0.0,0.997,0.956,0.007,0.188,0.149,0.236,0.475,0.435,0.21,0.947,0.999,1.0,0.968,0.997,0.297,0.142,0.478,0.025,0.068,0.5936911487758946,0.4063088512241055
amp_antibp,861,630,0.454,2,2,0.725,0.016,0.0,0.988,0.954,0.0,0.0,0.0,0.149,0.43,0.238,0.081,0.84,0.989,0.999,0.883,0.991,0.732,0.409,0.559,0.0,0.0,0.4994192799070848,0.5005807200929152
amp_antibp2,1993,1974,0.421,2,2,0.783,0.042,0.0,0.995,0.611,0.0,0.001,0.0,0.151,0.44,0.273,0.123,0.813,0.998,0.984,0.57,0.921,0.99,0.279,0.282,0.0,0.0,0.498745609633718,0.5012543903662819
amp_csamp,204,2100,0.833,2,2,0.647,0.0,0.0,0.838,0.0,0.0,0.0,0.0,0.186,0.423,0.373,0.373,0.77,0.904,0.994,0.689,0.961,10.294,0.652,0.063,0.047,0.122,0.37254901960784315,0.6274509803921569
amp_fernandes,231,2100,0.814,2,2,0.783,0.004,0.0,0.948,0.537,0.0,0.009,0.0,0.18,0.485,0.346,0.19,0.991,0.987,0.995,0.936,0.936,9.091,0.446,0.049,0.0,0.0,0.5021645021645021,0.49783549783549785
