name,complexities.c1,complexities.c2,complexities.n1,complexities.n2,complexities.n3,complexities.n4,complexities.lsc,complexities.l1,complexities.l2,complexities.l3,complexities.density,complexities.clsCoef,complexities.hubs
DPPIV_inhibitory_activity,0.0,0.0,0.234,0.457,0.46,0.478,0.961,0.001,0.047,0.023,0.66,0.109,0.507
HemoPI1,0.0,0.0,0.078,0.423,0.129,0.036,0.993,0.0,0.0,0.0,0.909,0.308,0.808
HemoPI2,0.006,0.016,0.143,0.406,0.25,0.185,0.996,0.001,0.027,0.009,0.882,0.251,0.788
HemoPI3,0.006,0.016,0.146,0.406,0.253,0.186,0.997,0.001,0.053,0.031,0.913,0.259,0.785
Hemo_HAPPENN,0.022,0.059,0.121,0.38,0.196,0.115,0.998,0.004,0.142,0.093,0.998,0.474,0.981
ace_inhibitory_activity,0.0,0.0,0.159,0.425,0.266,0.162,0.999,0.006,0.176,0.118,0.647,0.11,0.542
ace_vaxinpad,0.01,0.028,0.106,0.434,0.182,0.078,0.991,0.0,0.004,0.001,0.959,0.56,0.844
acp_anticp,0.0,0.0,0.187,0.457,0.339,0.147,0.992,0.0,0.0,0.0,0.94,0.493,0.823
acp_iacp,0.028,0.075,0.205,0.469,0.372,0.172,0.989,0.0,0.0,0.0,0.977,0.645,0.897
acp_mlacp,0.096,0.23,0.184,0.439,0.344,0.154,0.993,0.0,0.007,0.0,0.997,0.761,0.977
afp_amppred,0.0,0.001,0.158,0.437,0.28,0.142,0.998,0.0,0.021,0.007,0.976,0.51,0.888
afp_antifp,0.0,0.0,0.182,0.45,0.322,0.258,0.998,0.0,0.003,0.001,0.99,0.714,0.936
aip_aippred,0.029,0.076,0.256,0.493,0.497,0.198,0.998,0.004,0.121,0.095,1.0,1.0,0.997
aip_antiinflam,0.025,0.068,0.236,0.475,0.435,0.21,0.999,0.007,0.188,0.149,1.0,0.968,0.997
amp_antibp,0.0,0.0,0.149,0.43,0.238,0.081,0.989,0.0,0.0,0.0,0.999,0.883,0.991
amp_antibp2,0.0,0.0,0.151,0.44,0.273,0.123,0.998,0.0,0.001,0.0,0.984,0.57,0.921
amp_csamp,0.047,0.122,0.186,0.423,0.373,0.373,0.904,0.0,0.0,0.0,0.994,0.689,0.961
amp_fernandes,0.0,0.0,0.18,0.485,0.346,0.19,0.987,0.0,0.009,0.0,0.995,0.936,0.936
amp_gonzales,0.26,0.505,0.058,0.448,0.124,0.008,0.954,0.0,0.0,0.0,0.984,0.735,0.922
amp_iamp2l,0.162,0.356,0.355,0.493,0.702,0.713,0.999,0.0,0.001,0.0,0.992,0.813,0.94
amp_modlamp,0.002,0.005,0.077,0.382,0.123,0.052,0.99,0.0,0.0,0.0,0.996,0.576,0.966
anitinflamatory,0.04,0.104,0.244,0.489,0.473,0.218,1.0,0.01,0.227,0.188,1.0,0.996,0.999
anti_MRSA,0.393,0.661,0.095,0.488,0.181,0.065,0.995,0.0,0.0,0.0,0.989,0.8,0.913
antibacterial,0.0,0.0,0.148,0.435,0.283,0.15,0.999,0.002,0.069,0.033,0.909,0.37,0.8
anticancer_alternative,0.0,0.0,0.138,0.452,0.259,0.147,0.996,0.0,0.005,0.003,0.992,0.694,0.95
