name,complexities.n1,complexities.clsCoef,complexities.l1,complexities.lsc,complexities.c1
DPPIV_inhibitory_activity,0.234,0.109,0.001,0.961,0.0
HemoPI1,0.078,0.308,0.0,0.993,0.0
HemoPI2,0.143,0.251,0.001,0.996,0.006
HemoPI3,0.146,0.259,0.001,0.997,0.006
Hemo_HAPPENN,0.121,0.474,0.004,0.998,0.022
ace_inhibitory_activity,0.159,0.11,0.006,0.999,0.0
ace_vaxinpad,0.106,0.56,0.0,0.991,0.01
acp_anticp,0.187,0.493,0.0,0.992,0.0
acp_iacp,0.205,0.645,0.0,0.989,0.028
acp_mlacp,0.184,0.761,0.0,0.993,0.096
afp_amppred,0.158,0.51,0.0,0.998,0.0
afp_antifp,0.182,0.714,0.0,0.998,0.0
aip_aippred,0.256,1.0,0.004,0.998,0.029
aip_antiinflam,0.236,0.968,0.007,0.999,0.025
amp_antibp,0.149,0.883,0.0,0.989,0.0
amp_antibp2,0.151,0.57,0.0,0.998,0.0
amp_csamp,0.186,0.689,0.0,0.904,0.047
amp_fernandes,0.18,0.936,0.0,0.987,0.0
amp_gonzales,0.058,0.735,0.0,0.954,0.26
amp_iamp2l,0.355,0.813,0.0,0.999,0.162
amp_modlamp,0.077,0.576,0.0,0.99,0.002
anitinflamatory,0.244,0.996,0.01,1.0,0.04
anti_MRSA,0.095,0.8,0.0,0.995,0.393
antibacterial,0.148,0.37,0.002,0.999,0.0
anticancer_alternative,0.138,0.694,0.0,0.996,0.0
anticancer_main,0.157,0.619,0.001,0.996,0.0
antidiabetic,0.219,0.976,0.0,0.996,0.0
antifungal,0.201,0.742,0.0,0.998,0.0
antimalarial_alternative,0.415,0.769,0.0,0.99,0.344
antimalarial_main,0.26,0.493,0.0,0.997,0.663
antimicrobial,0.148,0.957,0.011,0.999,0.0
antimicrobial_UniDL4BioPep,0.215,0.671,0.0,0.825,0.015
antioxidant,0.15,0.351,0.001,0.998,0.0
antioxidant_UniDL4BioPep,0.197,0.174,0.008,0.998,0.0
antiparasitic,0.338,0.741,0.0,0.997,0.204
antiviral,0.179,0.293,0.005,0.999,0.0
atb_antitbp,0.152,0.418,0.0,0.993,0.0
atb_iantitb,0.158,0.476,0.0,0.992,0.0
avp_amppred,0.198,0.526,0.0,0.997,0.0
avp_avppred,0.182,0.463,0.0,0.995,0.015
bce_ibce,0.245,0.994,0.009,0.999,0.01
bitter,0.176,0.127,0.004,0.995,0.0
blood_brain_barrier,0.208,0.746,0.0,0.989,0.0
cpp_cellppd,0.168,0.541,0.0,0.996,0.0
cpp_cellppdmod,0.087,0.423,0.0,0.991,0.0
cpp_cppredfl,0.147,0.842,0.0,0.995,0.0
cpp_kelmcpp,0.144,0.862,0.0,0.995,0.0
cpp_mlcpp,0.221,0.822,0.001,0.997,0.037
cpp_mlcppue,0.226,0.429,0.002,0.995,0.0
cpp_sanders,0.141,0.734,0.0,0.969,0.214
hem_hemopi,0.12,0.312,0.0,0.995,0.002
hiv_apv,0.135,0.199,0.001,0.982,0.029
hiv_bevirimat,0.106,0.509,0.001,0.88,0.148
hiv_idv,0.093,0.186,0.001,0.986,0.0
hiv_lpv,0.108,0.208,0.0,0.984,0.007
hiv_nfv,0.114,0.199,0.001,0.991,0.041
hiv_protease,0.077,0.994,0.001,0.994,0.372
hiv_rtv,0.092,0.192,0.0,0.983,0.001
hiv_sqv,0.094,0.189,0.0,0.985,0.031
hiv_v3,0.031,0.36,0.001,0.976,0.395
isp_il10pred,0.221,0.964,0.003,0.998,0.099
nep_neuropipred,0.165,0.349,0.0,0.994,0.0
neuropeptide,0.146,0.22,0.003,0.999,0.0
pip_pipel,0.229,0.999,0.007,0.999,0.176
quorum_sensing,0.168,0.467,0.0,0.955,0.0
tce_zhao,0.113,0.938,0.0,0.853,0.326
toxic,0.078,0.841,0.0,0.997,0.0
toxic_PLPTP,0.067,0.847,0.002,0.997,0.138
tumor_t_cell_antigens,0.222,0.781,0.007,0.998,0.03
umami,0.102,0.137,0.002,0.989,0.099
