,mcc_mean,auc_roc_mean,f1_mean
C1,-0.1302399091554111,-0.2170233670094994,-0.34502573122556573
C2,-0.11506104530699789,-0.20033600885993455,-0.3313838312160828
LSC,-0.3355019901012185,-0.30869976850691117,-0.3526090437269429
T1,-0.5771451575700397,-0.5956921900703958,-0.6177911542665746
density,-0.30526400686913174,-0.33079179929928826,-0.35584620546872076
clsCoef,-0.3776496628803764,-0.4148477347523038,-0.4508735249612871
LevEntr,0.3053976030093605,0.31299098941474934,0.27330942174787853
LevMean,0.1610196922438681,0.15710049078101615,0.14906962706919005
LevStd,0.2027644125623305,0.2209255533199195,0.24993438894234976
LevMed,0.16731047368507562,0.16053187723238255,0.14693965282078092
LevMax,0.08893059742243503,0.10891677265564331,0.15221723293302356
LenEntr,0.11857749016199838,0.14874239986235033,0.14452561144136145
LenMean,0.5405523624768341,0.5241756992213457,0.4763579420875315
LenStd,0.07399501341229026,0.08442325365672748,0.09318927439911516
LenMed,0.4967193377346041,0.4787227682061542,0.4333020201849839
LenMin,0.1862074987551156,0.1677828311522709,0.15449869880582875
LenMax,0.32369044570558775,0.34892642679974356,0.4045377390704326
ShEntrEntr,0.12231757779820512,0.13334033191247624,0.08475273163417332
ShEntrMean,0.42857142857142855,0.39886274166739566,0.2982941125010935
ShEntrStd,-0.11762750415536699,-0.08497944186860293,-0.03885924241098766
ShEntrMed,0.4483271539196992,0.4201371908048857,0.32286344471224265
ShEntrMin,0.24852314635727402,0.22711932428663323,0.18201268510196053
ShEntrMax,0.4225451130984377,0.4186942462847817,0.3837213740407602
TriEntr,0.1485272375810275,0.18348511491485872,0.18301271116710421
TriMean,0.5419170844147916,0.5228459701535924,0.4647753020499959
TriStd,0.11479411070433755,0.12511700741452797,0.13027845576962316
TriMed,0.5198856745621648,0.4990586915448034,0.43761207919139294
TriMin,0.24363523207178145,0.221462463291898,0.19039583271274713
TriMax,0.3620361722558523,0.3820283762798713,0.4053028824570874
NTriEntr,0.2104996107123739,0.23621937031233978,0.3004837764420505
NTriMean,-0.14530662234275216,-0.18519814539410376,-0.2545534074009273
NTriStd,-0.1255008310733969,-0.09642201032280641,-0.060834572653311166
NTriMed,-0.28628780882440935,-0.3030095200696475,-0.33275196019196246
NTriMin,0.10922757740509677,0.08536582253377467,0.09206324381286728
