model,targets,spearman_mean,spearman_std
lasso,mcc_mean,0.6184615384615385,0.10710853211792902
linear,mcc_mean,0.6008791208791209,0.14023011433206445
ridge,mcc_mean,0.6703296703296703,0.12310831624745709
rf,mcc_mean,0.7037362637362639,0.14590758398673884
lasso,f1_mean,0.636043956043956,0.2545567334402881
linear,f1_mean,0.5578021978021979,0.21613862189887176
ridge,f1_mean,0.5745054945054945,0.29979697674799566
rf,f1_mean,0.6465934065934067,0.21167653550094057
lasso,auc_roc_mean,0.6272527472527473,0.13517895039314584
linear,auc_roc_mean,0.5727472527472528,0.15192266955413067
ridge,auc_roc_mean,0.6448351648351649,0.13205554447912374
rf,auc_roc_mean,0.6360439560439561,0.1706128804671044
