dataset,score
pip_pipel,0.5645541210758463
anitinflamatory,0.5754308097294919
bce_ibce,0.6027603601457859
aip_antiinflam,0.6141622468997354
tumor_t_cell_antigens,0.6181742164092767
isp_il10pred,0.6312988272716584
aip_aippred,0.6380754486720557
antimalarial_alternative,0.6657293266467037
hiv_protease,0.6728372584906005
amp_fernandes,0.6919244247994593
antiparasitic,0.709760908577865
tce_zhao,0.7110359411132909
cpp_mlcppue,0.7182448844542849
cpp_mlcpp,0.7217274934681567
cpp_sanders,0.72202565360394
antimicrobial,0.724429539002769
antidiabetic,0.7256047664529989
antimalarial_main,0.735228926813187
cpp_cppredfl,0.7391713574933744
acp_mlacp,0.7392436559886919
antiviral,0.741206613277406
antioxidant_UniDL4BioPep,0.7444944366161885
acp_iacp,0.7527178935149735
cpp_kelmcpp,0.7583781179699399
amp_iamp2l,0.7603154303328135
Hemo_HAPPENN,0.7635154845240232
anticancer_main,0.7669995355452699
ace_inhibitory_activity,0.7680330686396293
blood_brain_barrier,0.7714943040588591
DPPIV_inhibitory_activity,0.7787395414545921
avp_avppred,0.780575875945319
HemoPI3,0.7819355243926739
hiv_bevirimat,0.7840119589424754
HemoPI2,0.784626833430029
bitter,0.7857927968562347
atb_iantitb,0.7931394593853882
avp_amppred,0.7947188641648855
neuropeptide,0.8053596262137971
anti_MRSA,0.8079663520855602
amp_antibp2,0.8096122180614358
atb_antitbp,0.8124569548291594
afp_amppred,0.81506788876994
antioxidant,0.8152890562322057
cpp_cellppd,0.8196087467303588
hem_hemopi,0.8201516179800119
amp_antibp,0.8209845610567156
amp_gonzales,0.8223676010095555
nep_neuropipred,0.8224570596131232
ace_vaxinpad,0.8248859060270067
umami,0.8278737129250608
acp_anticp,0.8295032362212751
anticancer_alternative,0.8350254174681594
antimicrobial_UniDL4BioPep,0.8368326948086683
antifungal,0.8408516918566622
quorum_sensing,0.8430618537593157
amp_csamp,0.8519785235260589
cpp_cellppdmod,0.8520682930372019
HemoPI1,0.853791381307871
afp_antifp,0.8580017221521086
toxic_PLPTP,0.8620371365369407
hiv_apv,0.8628416467344926
hiv_nfv,0.8833169727888329
hiv_v3,0.8867632174216504
hiv_lpv,0.8887294368242356
hiv_sqv,0.8905099419806365
hiv_idv,0.9032440325142349
hiv_rtv,0.9048309793601119
toxic,0.9082735526133756
amp_modlamp,0.9322108866090364
