dataset,score
pip_pipel,0.4330904240969649
anitinflamatory,0.4881290154296366
bce_ibce,0.5306533139221776
aip_antiinflam,0.5363825410395153
hiv_protease,0.5390299594323613
aip_aippred,0.5565297086429066
antimalarial_alternative,0.5737470434140242
tumor_t_cell_antigens,0.5751031558388198
isp_il10pred,0.5873370266636102
antimalarial_main,0.6189581104662677
tce_zhao,0.6308089997889571
antiparasitic,0.6569381784863244
anti_MRSA,0.6807178969503798
amp_iamp2l,0.6875187960067836
amp_fernandes,0.6988274676548601
cpp_sanders,0.7041476824888493
antiviral,0.7060586119693747
antioxidant_UniDL4BioPep,0.7151198701166658
cpp_mlcppue,0.7250692386328695
antidiabetic,0.7267488777327871
ace_inhibitory_activity,0.7285391323894455
cpp_mlcpp,0.7440068970302846
acp_mlacp,0.7475402967770987
blood_brain_barrier,0.754547228110816
amp_gonzales,0.7583830183851564
Hemo_HAPPENN,0.7627327186106563
acp_iacp,0.7633229330142419
antimicrobial,0.7686131483313914
cpp_cppredfl,0.7749229887497734
hiv_bevirimat,0.7836587737651354
umami,0.7870923335272857
avp_avppred,0.7883533805038772
cpp_kelmcpp,0.7907470744824425
avp_amppred,0.7928019907792105
atb_iantitb,0.7944201673559742
bitter,0.7949272395842459
neuropeptide,0.7952324018282944
anticancer_main,0.7981449043522524
hiv_v3,0.7995023030512924
toxic_PLPTP,0.8004842126702871
DPPIV_inhibitory_activity,0.8036807700286107
antifungal,0.8046770572524949
antioxidant,0.8079392419773741
ace_vaxinpad,0.8088999031108455
acp_anticp,0.8126254491397688
atb_antitbp,0.8147489062333868
amp_antibp,0.8149138688343729
HemoPI3,0.8172362678897044
anticancer_alternative,0.8203864371321148
cpp_cellppd,0.8212160304658397
afp_amppred,0.8297794396207366
amp_antibp2,0.8341990603955823
nep_neuropipred,0.8366395876980953
quorum_sensing,0.844025315566351
afp_antifp,0.8443098187253683
hem_hemopi,0.8516575325921243
HemoPI2,0.8528802340106292
amp_csamp,0.8643371816678241
hiv_apv,0.8694425857266072
hiv_sqv,0.8698667831155544
HemoPI1,0.8777736337367369
toxic,0.8794538199331844
hiv_nfv,0.8798445415946674
hiv_lpv,0.8855568073970406
cpp_cellppdmod,0.9021701426200032
hiv_rtv,0.9043099698574346
hiv_idv,0.9152930221480022
antimicrobial_UniDL4BioPep,0.9178600129704343
amp_modlamp,0.96485335082495
