dataset,score
anitinflamatory,0.17323597272677638
pip_pipel,0.1749977690514824
bce_ibce,0.22500740705265376
aip_antiinflam,0.2360827114907914
tumor_t_cell_antigens,0.26189236422599277
aip_aippred,0.2948714136196542
isp_il10pred,0.3270621319608297
antimalarial_alternative,0.3439906409874961
amp_fernandes,0.39302247210102687
tce_zhao,0.43790512000565485
cpp_mlcppue,0.45773176523658626
antidiabetic,0.46146193329759255
antimicrobial,0.4658815546783761
hiv_protease,0.47155608058208126
antioxidant_UniDL4BioPep,0.4731435102737223
antiparasitic,0.4812320570078298
cpp_mlcpp,0.49585388000240294
cpp_sanders,0.5085410553278032
antiviral,0.511038440718342
acp_mlacp,0.5139594110418154
cpp_cppredfl,0.5324652794126759
avp_avppred,0.5354711077641698
ace_inhibitory_activity,0.5366108585942467
blood_brain_barrier,0.5377471332556769
Hemo_HAPPENN,0.5401536902690006
amp_iamp2l,0.5502654684763939
avp_amppred,0.555286919704083
acp_iacp,0.5562367086331591
anticancer_main,0.5578967110197639
bitter,0.5755647737685666
cpp_kelmcpp,0.5772725576503422
amp_antibp2,0.5793917619112828
DPPIV_inhibitory_activity,0.5805917509445326
atb_iantitb,0.5868591002797442
antimalarial_main,0.5891334671456179
HemoPI3,0.5933608644400781
afp_amppred,0.5983035433127516
HemoPI2,0.6012617451413866
antioxidant,0.6020952340419478
hiv_bevirimat,0.6110411660541373
cpp_cellppd,0.6156477318817171
ace_vaxinpad,0.6201710203395857
hem_hemopi,0.6255528671638195
atb_antitbp,0.6297344383675224
acp_anticp,0.6379578516898254
anticancer_alternative,0.6480409165203125
neuropeptide,0.6586564460569373
antimicrobial_UniDL4BioPep,0.6639224709166438
anti_MRSA,0.6681433025847454
nep_neuropipred,0.670466132763776
umami,0.6733244757131873
amp_csamp,0.6802995279637974
antifungal,0.6856652292019305
quorum_sensing,0.6924142277313151
HemoPI1,0.6931945679580644
amp_antibp,0.6932093999270327
cpp_cellppdmod,0.7029494572080623
toxic_PLPTP,0.720354205330765
afp_antifp,0.723791736347104
amp_gonzales,0.725247108780874
hiv_apv,0.741019208773595
hiv_lpv,0.7674720327851541
toxic,0.7767887819951059
hiv_nfv,0.7813382395592612
hiv_sqv,0.7946077644388958
hiv_rtv,0.8103388394975166
hiv_idv,0.8138033262311861
hiv_v3,0.8417397394320572
amp_modlamp,0.8662737687437398
