name,len_0,len_1,ot_M.ot_C.0.0,ot_M.ot_C.0.3,ot_M.ot_C.0.5,ot_M.ot_C.0.7,ot_M.ot_C.1.0,ot_M.masked_length_awarded_C.0.0,ot_M.masked_length_awarded_C.0.3,ot_M.masked_length_awarded_C.0.5,ot_M.masked_length_awarded_C.0.7,ot_M.masked_length_awarded_C.1.0,ot_M.dtw_C.0.0,ot_M.dtw_C.0.3,ot_M.dtw_C.0.5,ot_M.dtw_C.0.7,ot_M.dtw_C.1.0,masked_length_awarded_M.ot_C.0.0,masked_length_awarded_M.ot_C.0.3,masked_length_awarded_M.ot_C.0.5,masked_length_awarded_M.ot_C.0.7,masked_length_awarded_M.ot_C.1.0,masked_length_awarded_M.masked_length_awarded_C.0.0,masked_length_awarded_M.masked_length_awarded_C.0.3,masked_length_awarded_M.masked_length_awarded_C.0.5,masked_length_awarded_M.masked_length_awarded_C.0.7,masked_length_awarded_M.masked_length_awarded_C.1.0,masked_length_awarded_M.dtw_C.0.0,masked_length_awarded_M.dtw_C.0.3,masked_length_awarded_M.dtw_C.0.5,masked_length_awarded_M.dtw_C.0.7,masked_length_awarded_M.dtw_C.1.0,dtw_M.ot_C.0.0,dtw_M.ot_C.0.3,dtw_M.ot_C.0.5,dtw_M.ot_C.0.7,dtw_M.ot_C.1.0,dtw_M.masked_length_awarded_C.0.0,dtw_M.masked_length_awarded_C.0.3,dtw_M.masked_length_awarded_C.0.5,dtw_M.masked_length_awarded_C.0.7,dtw_M.masked_length_awarded_C.1.0,dtw_M.dtw_C.0.0,dtw_M.dtw_C.0.3,dtw_M.dtw_C.0.5,dtw_M.dtw_C.0.7,dtw_M.dtw_C.1.0
DPPIV_inhibitory_activity,665,664,0.07978082612540363,0.06170489441854359,0.04856534964624687,0.03464501971718991,0.01174690851410938,0.07978082612540363,0.05805667021311418,0.043243939351709046,0.027849778742052633,0.002687032188716854,0.07978082612540363,0.05830738823551872,0.04331907737613726,0.027888096146952306,0.0028468355034870774,0.062013395178777964,0.0532744628727399,0.04619654229350947,0.036070927566586974,0.01174690851410938,0.062013395178777964,0.04684025780492133,0.03667255120391639,0.026279924304013203,0.002687032188716854,0.062013395178777964,0.048081366139280386,0.03826003068704708,0.026825105744660904,0.0028468355034870774,0.05796865715434414,0.04548967888875844,0.03651019628095607,0.027104556468628506,0.01174690851410938,0.05796865715434414,0.0422647591116242,0.031513326345749965,0.02043820425368224,0.002687032188716854,0.05796865715434414,0.042256318710780304,0.03144337519866135,0.020404723437489534,0.0028468355034870774
HemoPI1,552,552,0.14303084315819373,0.10222676473302755,0.07459251093257799,0.04648434818162401,0.002902161450424547,0.14303084315819373,0.10141219265939545,0.07341977549770518,0.04512615904581521,0.0013660851927783653,0.14303084315819373,0.10275421607674876,0.07552652689867875,0.04794155839922678,0.005190011030171018,0.12725405411570517,0.09418504681822998,0.07141485403827395,0.047347855188044505,0.002902161450424547,0.12725405411570517,0.09214079244861142,0.06862673078813347,0.04483684559100805,0.0013660851927783653,0.12725405411570517,0.09489092878778618,0.0726873409181073,0.04844495665678974,0.005190011030171018,0.13552121435115444,0.09647165413349051,0.07022190224034928,0.043729743289020094,0.002902161450424547,0.13552121435115444,0.0957469462329374,0.06913049613075073,0.04237236028779271,0.0013660851927783653,0.13552121435115444,0.09689136289263292,0.07104757934516853,0.04503675785221932,0.005190011030171018
HemoPI2,462,552,0.10513068357384209,0.07559154341874788,0.05538031945788718,0.03484619288445048,0.0026003412181210325,0.10513068357384209,0.07491198148482248,0.05452644447180401,0.033872144898747396,0.0016743513705900887,0.10513068357384209,0.07529957700972757,0.05507423521955848,0.03463459910065268,0.0028506796974696424,0.08585562727115625,0.06487871061440671,0.04993001836653857,0.033710468070669054,0.0026003412181210325,0.08585562727115625,0.06325844424592833,0.04804418927699421,0.032160062389823725,0.0016743513705900887,0.08585562727115625,0.06337303161082032,0.048152518204111205,0.03224256141783498,0.0028506796974696424,0.056881596927959244,0.04128461015344056,0.030656806646889252,0.01985446447199541,0.0026003412181210325,0.056881596927959244,0.04074142820124896,0.029873235158100885,0.018892596011338584,0.0016743513705900887,0.056881596927959244,0.04097796297631378,0.030255867960335373,0.01946877081795376,0.0028506796974696424
HemoPI3,738,884,0.11624967779029766,0.08345445983713641,0.06120759569338329,0.038679124734297805,0.0031165032215284493,0.11624967779029766,0.08385911289895558,0.06198935961517609,0.03982119764920012,0.004929499046533016,0.11624967779029766,0.08306354859479556,0.060718653021517306,0.03825814095640925,0.0034333971582971704,0.09425989241168875,0.07150418942008911,0.05532432925308158,0.03745900591133384,0.0031165032215284493,0.09425989241168875,0.07093209117469673,0.055065563234488336,0.038249948315598095,0.004929499046533016,0.09425989241168875,0.06916977760284138,0.052269528695464126,0.035098579543281765,0.0034333971582971704,0.06444539951216952,0.04679436439824461,0.034853472635879984,0.022674147546441977,0.0031165032215284493,0.06444539951216952,0.04719882276926293,0.03558085616219593,0.023804996482886382,0.004929499046533016,0.06444539951216952,0.0464266733839908,0.03436056991815477,0.022205800572186223,0.0034333971582971704
Hemo_HAPPENN,2195,1543,0.1343986475415238,0.09888870058126151,0.07482138407996052,0.05033004321035312,0.011527380612584757,0.1343986475415238,0.10042777670316014,0.07714725757165179,0.05331006315444652,0.014984921585937469,0.1343986475415238,0.0969687451606614,0.07150980886439161,0.045570449244260805,0.003624207770026715,0.14252759528368997,0.10761040686274133,0.08346545796730709,0.05779916784464367,0.011527380612584757,0.14252759528368997,0.11112087119558413,0.08928599227088883,0.06446333902256567,0.014984921585937469,0.14252759528368997,0.10652536302129699,0.08174105052876522,0.05502734149882173,0.003624207770026715,0.1582439338609552,0.11540360763963453,0.0866187775291219,0.057504947830621087,0.011527380612584757,0.1582439338609552,0.11671386080196515,0.0886849424397168,0.060252768273401,0.014984921585937469,0.1582439338609552,0.11318786212112018,0.08283306787255279,0.0521315624151404,0.003624207770026715
ace_inhibitory_activity,1299,1299,0.07797164470869035,0.05710020018746954,0.0425820001620328,0.027642398363891863,0.003990466536946836,0.07797164470869035,0.05743990695407968,0.04350811680810946,0.0292632088366909,0.00657029133558188,0.07797164470869035,0.06308428155123241,0.052744967669944604,0.04212772016141636,0.024975535484037862,0.07640733898548242,0.0592245037853796,0.04708054179465127,0.03296127567091649,0.003990466536946836,0.07640733898548242,0.05787165940275333,0.04539071965493216,0.03261021705282774,0.00657029133558188,0.07640733898548242,0.06409973818839315,0.05557296232646773,0.04626521009026496,0.024975535484037862,0.06906532569933461,0.05036341188082259,0.037615884261515846,0.024643545404522474,0.003990466536946836,0.06906532569933461,0.05086529082046443,0.03859117698832773,0.02615249652198269,0.00657029133558188,0.06906532569933461,0.056267833762551685,0.047595929324064826,0.038818471567629284,0.024975535484037862
ace_vaxinpad,385,303,0.1961717285299739,0.14350302865486542,0.10668880506730972,0.06797540562063333,0.005461379855415328,0.1961717285299739,0.1433714011705591,0.10609846847049947,0.06758160977287031,0.006031905510087436,0.1961717285299739,0.14580889528508628,0.1098651504724648,0.07170818471923686,0.00842479690386593,0.13138202179639008,0.10875847656927201,0.09181251399209849,0.0680332222275417,0.005461379855415328,0.13138202179639008,0.10863801938687608,0.09301530362564618,0.0719726895601347,0.006031905510087436,0.13138202179639008,0.11205314299376237,0.09811475664375655,0.07621067403008389,0.00842479690386593,0.21260685355507875,0.15335951554200788,0.11318466014130424,0.07200659579632865,0.005461379855415328,0.21260685355507875,0.15286218031320342,0.11242379324649615,0.07136958992496266,0.006031905510087436,0.21260685355507875,0.15533157078485585,0.11601641262477576,0.07529314971219045,0.00842479690386593
acp_anticp,225,224,0.23056938269940086,0.1790492786778013,0.1440190252499972,0.10819485890838648,0.052134626048970976,0.23056938269940086,0.18024834212533697,0.1456090367724267,0.11048095086932307,0.0551028150308256,0.23056938269940086,0.19853322669152754,0.17595119307996476,0.15238606072398397,0.11445135656206293,0.20925177322905758,0.17177131878055626,0.14569220488762666,0.11654534825579603,0.052134626048970976,0.20925177322905758,0.1750589201909881,0.15180459564170187,0.1261596306895591,0.0551028150308256,0.20925177322905758,0.1924092829188572,0.179737066291888,0.16182508343662105,0.11445135656206293,0.20337061891944463,0.15961166891030007,0.13012443765014806,0.09980213533980865,0.052134626048970976,0.20337061891944463,0.16013485665368102,0.13093003648977963,0.10127801539658317,0.0551028150308256,0.20337061891944463,0.17853969075358833,0.16132373657772642,0.14337747377787807,0.11445135656206293
acp_iacp,206,138,0.23433734792433852,0.17962434244408956,0.14219985812500607,0.10401520278002627,0.0444107427814846,0.23433734792433852,0.19029705401900232,0.1598998587514399,0.12862957223861665,0.07931069587159344,0.23433734792433852,0.1921364341940487,0.16276592873224624,0.13264167546426422,0.0851519313831554,0.27436054972610113,0.21156043917999065,0.1686681379383673,0.12399900842660928,0.0444107427814846,0.27436054972610113,0.22338915931172282,0.18895087232851765,0.15353858240684945,0.07931069587159344,0.27436054972610113,0.22604378785561138,0.19199356349472488,0.15443024917957138,0.0851519313831554,0.21230065655930314,0.16346577139875798,0.13058452788982586,0.09701277267584865,0.0444107427814846,0.21230065655930314,0.17375369829205348,0.14761469064445634,0.12110487119001115,0.07931069587159344,0.21230065655930314,0.1759144701499612,0.15110095266846954,0.12565535331976943,0.0851519313831554
acp_mlacp,398,187,0.21975869691873395,0.15926689928060728,0.11845774705815346,0.07709704662300468,0.01197828384082602,0.21975869691873395,0.1597251124479969,0.11862321243603761,0.07641947696642297,0.009066684140402851,0.21975869691873395,0.16052355866123222,0.11995975616650793,0.07851138074355545,0.011619649531134537,0.22328500977848353,0.16597760739218523,0.1269772965916811,0.086386751182293,0.01197828384082602,0.22328500977848353,0.168902963549479,0.1320312348752111,0.09153832298125313,0.009066684140402851,0.22328500977848353,0.17002146237370586,0.132869155286663,0.09088222408341365,0.011619649531134537,0.28610228778544244,0.20534989305507997,0.15128316884680076,0.09676090638815443,0.01197828384082602,0.28610228778544244,0.20528771549244343,0.15080621742719127,0.09560824150985904,0.009066684140402851,0.28610228778544244,0.20598781341898093,0.15190707440572085,0.09728841507214075,0.011619649531134537
afp_amppred,1384,1329,0.19105425758675837,0.13569151925102788,0.09823018860219725,0.060297401418537365,0.0016618905750874408,0.19105425758675837,0.13527938372498097,0.0976560528367983,0.059643648359787575,0.000936136296083925,0.19105425758675837,0.1377786004752349,0.10159678982565089,0.06496765303837265,0.008142673204896124,0.13434681045096605,0.10224047521881072,0.07962571827505648,0.05400799374463494,0.0016618905750874408,0.13434681045096605,0.09971924995951255,0.07642280793670102,0.05259419507523087,0.000936136296083925,0.13434681045096605,0.10474756779926364,0.08432090037866856,0.05952815590756204,0.008142673204896124,0.15248952751954148,0.10802484228431466,0.078155125381629,0.04803487535436362,0.0016618905750874408,0.15248952751954148,0.10765134040840331,0.077593139742372,0.04735092502111124,0.000936136296083925,0.15248952751954148,0.10985948505966837,0.08125151313083942,0.052429474728804694,0.008142673204896124
