name,Logistic_Regression_MCC_mean,Logistic_Regression_AUC-ROC_mean,Logistic_Regression_F1_mean,SVM_MCC_mean,SVM_AUC-ROC_mean,SVM_F1_mean,KNN_MCC_mean,KNN_AUC-ROC_mean,KNN_F1_mean,Random_Forest_MCC_mean,Random_Forest_AUC-ROC_mean,Random_Forest_F1_mean,XGBoost_MCC_mean,XGBoost_AUC-ROC_mean,XGBoost_F1_mean
DPPIV_inhibitory_activity,0.6547616175129308,0.8269423558897243,0.8267807230508227,0.6572750767882118,0.827671451355662,0.8258167825790006,0.6198939154119534,0.8080884028252449,0.7983752766518242,0.6043816433547798,0.8013385737069948,0.8014770671162404,0.643651519530348,0.8208988380041011,0.8213456138502548
HemoPI1,0.9025396424053558,0.951089271089271,0.9509342144711388,0.9260904637416008,0.9628337428337428,0.96258993564049,0.875965467649921,0.9375020475020476,0.9387599727019889,0.9068057800819248,0.9528501228501228,0.9521285672116646,0.89710724977372,0.9483456183456184,0.9480574092556056
HemoPI2,0.4996671094834573,0.7481966015486353,0.7744616123059975,0.518742679943965,0.7579954753937924,0.7837621601714763,0.4122074437775337,0.7041134459717909,0.7394536146202807,0.5340997648636284,0.7652401349456049,0.7926033392157338,0.5306213795293181,0.7647981272104694,0.7879020700021417
HemoPI3,0.4295039044991814,0.7138484918599931,0.7449228300221046,0.4687459542213336,0.7322969084772959,0.765937901437943,0.4311610789559518,0.7119806738753469,0.7532091257929945,0.5186447748639844,0.7596107203552723,0.778609503063516,0.4946176398918102,0.7467369839494536,0.7722881146433304
Hemo_HAPPENN,0.499062716375829,0.748898694577864,0.7047494216758083,0.5512004286281637,0.7742653368408063,0.7334818380160505,0.5167946565211731,0.7593380602265535,0.7191348326461491,0.5616949396811558,0.7753935016778638,0.7311848365395074,0.577741003828357,0.7859381580520755,0.746095385978183
ace_inhibitory_activity,0.4790119726851505,0.7390495990495991,0.7444738410359186,0.4980670965134398,0.7486412236412237,0.7442319004039086,0.4552612228519278,0.7274784674784676,0.7233837825067819,0.5287919660983329,0.7632877932877934,0.7546582061377025,0.5250193583371188,0.7621190971190971,0.7583227424630763
ace_vaxinpad,0.8007114947842287,0.8996419700518061,0.8879101537777198,0.8386296092935097,0.916525086934923,0.9073830612336468,0.7941281346820623,0.8988173302107727,0.8873317400912484,0.7861398268264478,0.8874795969058263,0.8734389805030498,0.8236135605973519,0.9082463984103328,0.8976485882884315
acp_anticp,0.7869498345859289,0.8907575757575759,0.8894253229946534,0.8051382214143524,0.8995959595959597,0.8954804121673756,0.6973236810508153,0.8463636363636363,0.8478458191787354,0.7858035975112687,0.8907575757575759,0.8882564298631715,0.8110443128671285,0.9041414141414142,0.90272751485792
acp_iacp,0.8503301215676498,0.9202864885791716,0.906472387627426,0.8591241777426571,0.9141534391534392,0.9045765861900316,0.7699107347388106,0.8814459930313587,0.8588081233562861,0.8494262812406269,0.9152439024390244,0.9037017305874132,0.7999404615837494,0.894773519163763,0.8762941461054667
acp_mlacp,0.5169515689179416,0.7562071907016944,0.6689827923161257,0.6465252684930778,0.798657561625583,0.7353174603174603,0.5509336335251593,0.7747363694473954,0.6932996788771437,0.5708135980259155,0.7547462952626178,0.6711770531554927,0.5670354738565374,0.771944019302447,0.6929553450283972
afp_amppred,0.7488516289942186,0.8742596371000235,0.8716732371229806,0.7948931080106469,0.8957215357169337,0.8908760565281166,0.7328988966169803,0.8661189868705164,0.8657015811491643,0.7613541421484303,0.8781162119069986,0.8706381430033021,0.7804255002061742,0.8893422393300339,0.885465414737652
afp_antifp,0.7741221550185061,0.8868144800640211,0.8886427132979927,0.8142563157252868,0.9070599726968884,0.90690145430477,0.7810004400946519,0.8895471449418633,0.8933028539887019,0.7979951163168209,0.89883608718166,0.8977957723955724,0.7992785225486168,0.8995233724050274,0.8993414431426429
aip_aippred,0.1267586491140817,0.5632126984126984,0.4765015423698058,0.1817867821392703,0.5665968253968254,0.331177609693902,0.1087427156921442,0.5529777777777778,0.4365468062732957,0.1613254356113688,0.5653746031746032,0.3668431507191698,0.1046054617047239,0.5466603174603175,0.3816449082906271
aip_antiinflam,0.2325162704613595,0.6148309654411457,0.5345060898917249,0.2885391955757401,0.6278351627597962,0.5005708493860268,0.2830674071971896,0.6354391487555715,0.5419816590580719,0.2655181231002427,0.6158936787340558,0.4769950366306142,0.2850114135297948,0.6350503989530389,0.5362503609255718
amp_antibp,0.9197866670730152,0.9593557872226676,0.9587606202147754,0.8987569886717418,0.948904036353916,0.9481447181583812,0.8848953851337731,0.9419406575781876,0.9408435497311396,0.8914073492127843,0.9454290296712108,0.9450680619115632,0.9035901179191648,0.9512028869286288,0.9504479149411542
amp_antibp2,0.8527573374090315,0.9262383381554236,0.9267709097721942,0.8697581959571835,0.9343314552560784,0.9327617784266552,0.8267155374198392,0.9132081112633876,0.912905438658633,0.8335147851941336,0.9157988173189178,0.9130008040762276,0.8311433889156914,0.9152559260951222,0.9137094082489894
amp_csamp,0.8838123206370243,0.9380576923076924,0.9575937846836848,0.9067631165728546,0.9515448717948718,0.9648506787330318,0.8967883308146041,0.9368333333333334,0.9619599621819376,0.927501717735412,0.9568333333333332,0.9729958166140186,0.9276791468231848,0.9595,0.9725312615612282
amp_fernandes,0.4915219025721703,0.7445652173913043,0.738558190271438,0.5188113540291356,0.7576086956521739,0.7523294450335808,0.4978028228931294,0.7442028985507247,0.719321175278622,0.5590607289149195,0.7791666666666667,0.783441258094357,0.5009307991763277,0.7487318840579709,0.7472669552669553
amp_gonzales,0.7460941847701907,0.8688095238095238,0.7683982683982684,0.6898337054264789,0.7952380952380953,0.6865800865800866,0.6261070714865946,0.8416666666666668,0.6936263736263737,0.7053805090937109,0.7933333333333333,0.680952380952381,0.7732882801212224,0.86,0.7957264957264958
amp_iamp2l,0.7426334646924787,0.8721958176958177,0.8117239697900918,0.7640130910185878,0.8715298957798957,0.8235082135155528,0.734998857610192,0.8621330426330427,0.80359043099777,0.7173739779856205,0.8434802224802226,0.7854744617389446,0.7470976215371502,0.8672803345303344,0.8123817516922655
amp_modlamp,0.8339302658256523,0.9171249787327806,0.9131464788471296,0.851774626029103,0.9261589309770648,0.9226833633514332,0.8197354593937884,0.91032409847908,0.9069588443233008,0.8262289084568797,0.9136018720731424,0.9101758299207112,0.8361704358821742,0.9183075755927628,0.9144319995916208
anitinflamatory,0.1201443539148856,0.5593336901529554,0.4468544323242119,0.135030554318919,0.5452455809763918,0.2682596520227699,0.1167924927496441,0.5555782476582701,0.4182087178763449,0.1168499327916642,0.5423357053448454,0.2855680917979216,0.1051475469845665,0.5471170792044245,0.3758508151388233
anti_MRSA,0.8316621083654981,0.9159825725842264,0.8561586409174708,0.8426544374989682,0.8717241379310346,0.8504786324786323,0.8165382110626478,0.8624676836659987,0.8285093911778547,0.7985463833694848,0.8547325275754047,0.8141391729963157,0.8428179887886303,0.891152305851947,0.8596188972116103
antibacterial,0.846488555118387,0.923169395916342,0.9225178956746832,0.8734137848624306,0.9360951661631418,0.9343696540446044,0.8446598471452674,0.9222025190828552,0.9213470885012482,0.8386047201601174,0.9186393887648322,0.9163184202326908,0.8610735730964766,0.930175649838726,0.9287521363731605
anticancer_alternative,0.7934111789493895,0.8963917525773196,0.896804105399822,0.8212118534801242,0.9103092783505154,0.9090389014707771,0.7845781389457447,0.8917525773195877,0.8897496982358272,0.7882195137811493,0.8938144329896908,0.8928240488251655,0.8154960937399638,0.9077319587628866,0.9074789368045916
anticancer_main,0.4156841598370693,0.7073228928619438,0.7029040306694938,0.4986258956446027,0.7468040059147734,0.7294198052502959,0.4231812910487283,0.7114094636375856,0.7099757365883708,0.4612283330339379,0.7299737867993009,0.7206468446143636,0.4590503587257396,0.7288244387686517,0.719119075994169
antidiabetic,0.3538295092842294,0.6757978723404255,0.6693377314186798,0.4338747688799607,0.709441489361702,0.7298996826160818,0.2888601781952514,0.6397163120567375,0.6741801048657085,0.4073576403750845,0.7011081560283687,0.7030410302105258,0.3999361372795317,0.6966755319148936,0.7011291465656935
antifungal,0.8571970327139589,0.928485863661743,0.9284574759021648,0.8794549606699832,0.9395614435815444,0.939286589214408,0.8385524504946613,0.918915283488148,0.9200936690297972,0.8582395243020666,0.9289985279935028,0.9285784544186176,0.8541945334346479,0.9269859398000102,0.9264065020619554
antimalarial_alternative,0.8688787230536125,0.9225669156551508,0.8876770641114,0.8321231359961787,0.891503267973856,0.8545125851759142,0.7530220923713432,0.8163071895424837,0.7667571059431524,0.8129279971499663,0.8770907251789604,0.8351550549297734,0.7844108186453769,0.8717732648615002,0.8143826946974647
antimalarial_main,0.6868648254162941,0.8124775317479813,0.7001308047419131,0.6184948125973838,0.6992063492063492,0.5691607396870555,0.6121906246273493,0.6988325281803542,0.5656410256410257,0.5949045095854186,0.6881182424660686,0.5429804545337279,0.6602345035906771,0.7477570738440303,0.6431970045622663
